merge_key,violation_count,weighted_violations,center_lat,center_lon,police_station,junction_name,night_count,night_ratio,zone_criticality,recurrence_rate,impact_score,impact_score_log,impact_score_norm,rank,priority_tier
Peenya_13.041_77.52,154,296.0,13.039965197186147,77.51877076796536,Peenya,No Junction,57,37.0,2,0.427,252.78,5.536467749968769,28.4,300,Low
"BTP089 - Police Quarters, Sultan Road",87,353.5,12.960983110344829,77.56353294367817,Chamarajpet,"BTP089 - Police Quarters, Sultan Road",22,25.3,3,0.241,255.58,5.547440506821194,28.4,301,Low
"BTP202 - East End Main Road, Jayanagar",142,208.0,12.917186653521128,77.59701229788732,Jayanagara,"BTP202 - East End Main Road, Jayanagar",58,40.8,3,0.394,245.86,5.508821374315783,28.2,302,Low
Shivajinagar_12.987_77.604,164,263.5,12.986436435260547,77.60464583352604,Shivajinagar,No Junction,61,37.2,2,0.455,239.78,5.48388365350688,28.0,303,Low
BTP064 - Devanga Hostel Junction,104,269.5,12.962732790384617,77.58990461057692,Halasuru Gate,BTP064 - Devanga Hostel Junction,54,51.9,3,0.289,233.66,5.4581376579954775,27.8,304,Low
Yelahanka_13.095_77.595,193,220.0,13.094231432124351,77.59435934248704,Yelahanka,No Junction,148,76.7,2,0.536,235.84,5.467384807663575,27.8,305,Low
Hulimavu_12.885_77.64,127,333.0,12.884900427512925,77.64099763443217,Hulimavu,No Junction,14,11.0,2,0.352,234.43,5.4614136293568585,27.8,306,Low
Ashok Nagar_12.975_77.61,169,242.0,12.974018869230768,77.60960083372781,Ashok Nagar,No Junction,115,68.0,2,0.469,227.0,5.429345628954441,27.5,307,Low
Mahadevapura_12.981_77.694,106,376.5,12.979957383439528,77.69479678007123,Mahadevapura,No Junction,60,56.6,2,0.294,221.38,5.404387630275103,27.4,308,Low
Jalahalli_13.056000000000001_77.547,165,244.5,13.056960202424243,77.54719752848484,Jalahalli,No Junction,59,35.8,2,0.458,223.96,5.4159226086223,27.4,309,Low
Kodigehalli_13.047_77.574,163,243.5,13.0474630601227,77.57460830858895,Kodigehalli,No Junction,81,49.7,2,0.452,220.12,5.398705540579305,27.3,310,Low
Pulikeshinagar(F.Town)_12.99_77.613,135,280.5,12.990457257037036,77.61238219481481,Pulikeshinagar(F.Town),No Junction,59,43.7,2,0.375,210.38,5.353657461581201,27.0,311,Low
Bellandur_12.927_77.694,135,280.5,12.927213925816368,77.69486228604367,Bellandur,No Junction,35,25.9,2,0.375,210.38,5.353657461581201,27.0,312,Low
BTP092 - Bangalore Builders Junction,96,255.0,12.959323617708334,77.555697278125,Chamarajpet,BTP092 - Bangalore Builders Junction,28,29.2,3,0.266,203.49,5.320519074531723,26.7,313,Low
"BTP190 - 36th Cross, 4th Main, Jayanagar",145,165.5,12.922585208123428,77.5812768107059,Jayanagara,"BTP190 - 36th Cross, 4th Main, Jayanagar",41,28.3,3,0.402,199.59,5.301263023836606,26.6,314,Low
HAL Old Airport_12.96_77.7,147,239.5,12.959309224489797,77.70111923741497,HAL Old Airport,No Junction,106,72.1,2,0.408,195.43,5.280306133746185,26.4,315,Low
Jalahalli_13.05_77.553,168,208.5,13.050811667261904,77.55279264583334,Jalahalli,No Junction,96,57.1,2,0.466,194.32,5.274639239193459,26.4,316,Low
BTP166 - Coffee Board Junction,121,191.5,12.984920821487604,77.5943366785124,Cubbon Park,BTP166 - Coffee Board Junction,95,78.5,3,0.336,193.03,5.268012786283181,26.3,317,Low
Chikkabanavara_13.05_77.496,119,283.0,13.04942827815126,77.4961596162465,Chikkabanavara,No Junction,38,31.9,2,0.33,186.78,5.2352710648304015,26.1,318,Low
Kodigehalli_13.053_77.592,169,198.5,13.053900385798817,77.59273013786982,Kodigehalli,No Junction,71,42.0,2,0.469,186.19,5.2321241438132375,26.0,319,Low
"BTP113 - 27th Cross, Pai Vista, KR Road",128,172.0,12.9175333703125,77.5731112515625,Banashankari,"BTP113 - 27th Cross, Pai Vista, KR Road",43,33.6,3,0.355,183.18,5.215913540293221,25.9,320,Low
BTP171 - Indian Express (Balekundri),114,191.5,12.986301935964912,77.59864174824561,Shivajinagar,BTP171 - Indian Express (Balekundri),62,54.4,3,0.316,181.54,5.206969327088731,25.9,321,Low
Bellandur_12.903_77.703,148,223.0,12.903730277041138,77.70393942883541,Bellandur,No Junction,56,37.8,2,0.411,183.31,5.216619122563531,25.9,322,Low
Sadashivanagar_13.008000000000001_77.58,155,211.5,13.007494998709678,77.57935960967743,Sadashivanagar,No Junction,74,47.7,2,0.43,181.89,5.208884879216484,25.9,323,Low
Rajajinagar_13.002_77.526,90,359.5,13.002038702222222,77.52575421888889,Rajajinagar,No Junction,37,41.1,2,0.25,179.75,5.197114861038874,25.8,324,Low
"BTP221 - 15th Cross, 24th Main, JP Nagar",116,185.5,12.905022600862068,77.58618874568965,J.P. Nagar,"BTP221 - 15th Cross, 24th Main, JP Nagar",69,59.5,3,0.322,179.19,5.194011849738723,25.8,325,Low
Yelahanka_13.095_77.601,104,311.0,13.095914214423077,77.60025179615386,Yelahanka,No Junction,3,2.9,2,0.289,179.76,5.197170184543078,25.8,326,Low
K.R. Pura_13.005_77.688,158,202.5,13.006251928481014,77.68692246835444,K.R. Pura,No Junction,36,22.8,2,0.438,177.39,5.183972164763176,25.7,327,Low
Wilson Garden_12.936_77.586,171,185.0,12.9373891516356,77.58517902929002,Wilson Garden,No Junction,73,42.7,2,0.474,175.38,5.172640758460035,25.6,328,Low
Pulikeshinagar(F.Town)_13.002_77.613,147,214.5,13.001418126530613,77.6123991857143,Pulikeshinagar(F.Town),No Junction,53,36.1,2,0.408,175.03,5.170654435057881,25.6,329,Low
Chikkajala_13.185_77.682,128,244.5,13.18364253125,77.68181884453125,Chikkajala,No Junction,26,20.3,2,0.355,173.6,5.162497643405501,25.5,330,Low
Mahadevapura_12.972_77.712,124,247.0,12.972390213709676,77.71132473709677,Mahadevapura,No Junction,33,26.6,2,0.344,169.94,5.141312617737872,25.4,331,Low
Sheshadripuram_12.993_77.574,138,224.0,12.99270153478261,77.57387794710145,Sheshadripuram,No Junction,83,60.1,2,0.383,171.58,5.150860897080162,25.4,332,Low
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",103,195.5,12.98771043883495,77.55949917572815,Rajajinagar,"BTP015 - Suguna Hospital, Dr. Rajkumar Road",54,52.4,3,0.286,167.74,5.128359068737481,25.3,333,Low
HAL Old Airport_12.936_77.703,126,235.0,12.93689087122322,77.70296739332146,HAL Old Airport,No Junction,71,56.3,2,0.35,164.5,5.1089711948171175,25.1,334,Low
BTP121 - KH Circle,107,182.5,12.951853676635514,77.5903747271028,Wilson Garden,BTP121 - KH Circle,73,68.2,3,0.297,162.61,5.097485546994985,25.0,335,Low
Mahadevapura_12.975_77.712,88,332.5,12.974455379545454,77.7108770034091,Mahadevapura,No Junction,22,25.0,2,0.244,162.26,5.09534402202321,25.0,336,Low
Chikkajala_13.185_77.685,131,216.5,13.183933320610686,77.68549128167939,Chikkajala,No Junction,17,13.0,2,0.363,157.18,5.063733625091271,24.8,337,Low
Bellandur_12.912_77.682,135,210.5,12.912136085185185,77.68153234222221,Bellandur,No Junction,72,53.3,2,0.375,157.88,5.068149200296863,24.8,338,Low
HAL Old Airport_12.966000000000001_77.715,129,215.0,12.966823254263566,77.71558848294573,HAL Old Airport,No Junction,71,55.0,2,0.358,153.94,5.043037945203756,24.6,339,Low
BTP193 - Vasavi Circle,113,161.0,12.949798086218998,77.5767949444681,V.V.Puram (C.Pet),BTP193 - Vasavi Circle,27,23.9,3,0.314,151.66,5.028213226370324,24.5,340,Low
HAL Old Airport_12.96_77.667,149,182.5,12.958941799328858,77.66795003154363,HAL Old Airport,No Junction,35,23.5,2,0.413,150.74,5.022168529909929,24.4,341,Low
Wilson Garden_12.939_77.592,104,259.5,12.938284772115384,77.59263543076923,Wilson Garden,No Junction,81,77.9,2,0.289,149.99,5.017213609456379,24.4,342,Low
Yelahanka_13.101_77.589,146,184.5,13.099720360273972,77.58870785684931,Yelahanka,No Junction,78,53.4,2,0.405,149.45,5.013630803076055,24.4,343,Low
Yelahanka_13.122_77.631,105,254.0,13.121464296190476,77.63111686761904,Yelahanka,No Junction,26,24.8,2,0.291,147.83,5.0028047149810675,24.3,344,Low
"BTP159 - JP Nagar Metro, ORR",101,176.0,12.906413123500311,77.57288417491768,J.P. Nagar,"BTP159 - JP Nagar Metro, ORR",34,33.7,3,0.28,147.84,5.002871903478422,24.3,345,Low
Mico Layout_12.915000000000001_77.604,144,184.0,12.913602978472221,77.60490847083332,Mico Layout,No Junction,58,40.3,2,0.4,147.2,4.998562712861986,24.3,346,Low
Peenya_13.047_77.502,153,174.5,13.047074810457516,77.50104393333334,Peenya,No Junction,16,10.5,2,0.425,148.32,5.006091654046383,24.3,347,Low
R.T. Nagar_13.029_77.586,126,211.5,13.027718843650792,77.58606406666667,R.T. Nagar,No Junction,56,44.4,2,0.35,148.05,5.00428182012408,24.3,348,Low
"BTP093 - Toll Gate, Mysore Road",90,194.0,12.958754304444446,77.55213842444445,Magadi Road,"BTP093 - Toll Gate, Mysore Road",31,34.4,3,0.25,145.5,4.987025428457122,24.2,349,Low
J.P. Nagar_12.894_77.598,147,179.0,12.89468405782313,77.5990968462585,J.P. Nagar,No Junction,119,81.0,2,0.408,146.06,4.990840666768076,24.2,350,Low
Ashok Nagar_12.975_77.607,149,175.5,12.974307198657717,77.60775829932886,Ashok Nagar,No Junction,64,43.0,2,0.413,144.96,4.983332611568247,24.1,351,Low
Bellandur_12.93_77.694,95,272.0,12.930007110526317,77.69496189473685,Bellandur,No Junction,35,36.8,2,0.264,143.62,4.974109612746806,24.1,352,Low
Byatarayanapura_12.951_77.523,99,261.5,12.950489204040405,77.52212123030303,Byatarayanapura,No Junction,38,38.4,2,0.275,143.83,4.975560640812765,24.1,353,Low
Shivajinagar_12.984_77.604,117,220.5,12.985098994017093,77.60528671880341,Shivajinagar,No Junction,45,38.5,2,0.325,143.33,4.972102344379472,24.1,354,Low
Bellandur_12.921000000000001_77.667,113,223.0,12.92115637071399,77.6667192211044,Bellandur,No Junction,55,48.7,2,0.314,140.04,4.949043538089615,23.9,355,Low
Banaswadi_13.023_77.637,153,160.0,13.022471553365436,77.63786990091698,Banaswadi,No Junction,29,19.0,2,0.425,136.0,4.919980925828125,23.7,356,Low
R.T. Nagar_13.026_77.586,120,206.5,13.0258256,77.58557205583334,R.T. Nagar,No Junction,55,45.8,2,0.333,137.53,4.931086908669788,23.7,357,Low
Jeevanbheemanagar_12.969_77.643,131,189.0,12.969985238931297,77.64296049465649,Jeevanbheemanagar,No Junction,59,45.0,2,0.363,137.21,4.928774267615935,23.7,358,Low
"BTP191 - 40th Cross, 4th Main, Jayanagar",105,154.5,12.920106225714285,77.58220127047619,Jayanagara,"BTP191 - 40th Cross, 4th Main, Jayanagar",28,26.7,3,0.291,134.88,4.911772143292383,23.6,359,Low
R.T. Nagar_13.02_77.592,146,165.0,13.020324225342465,77.59250110890412,R.T. Nagar,No Junction,49,33.6,2,0.405,133.65,4.902678819257608,23.5,360,Low
HSR Layout_12.891_77.637,132,182.5,12.891982621894696,77.63829715603617,HSR Layout,No Junction,31,23.5,2,0.366,133.59,4.902233120245624,23.5,361,Low
HAL Old Airport_12.957_77.709,79,304.0,12.956578826582279,77.70868560253165,HAL Old Airport,No Junction,9,11.4,2,0.219,133.15,4.8989585768716335,23.5,362,Low
Adugodi_12.924_77.634,107,222.5,12.925126109345793,77.63388388411215,Adugodi,No Junction,55,51.4,2,0.297,132.16,4.891551412706824,23.4,363,Low
HAL Old Airport_12.933_77.697,85,278.0,12.932448660008562,77.69611812061797,HAL Old Airport,No Junction,34,40.0,2,0.236,131.22,4.884467201905432,23.4,364,Low
Banaswadi_12.993_77.652,137,171.5,12.991955640145985,77.65234615620437,Banaswadi,No Junction,128,93.4,2,0.38,130.34,4.8777893807628265,23.3,365,Low
Jnanabharathi_12.972_77.508,123,189.5,12.971656833333332,77.50762372357723,Jnanabharathi,No Junction,68,55.3,2,0.341,129.24,4.869378902254231,23.3,366,Low
"BTP179 - 9th Block, 28th Main, Jayanagar",110,141.0,12.91695609,77.59508601818183,Jayanagara,"BTP179 - 9th Block, 28th Main, Jayanagar",21,19.1,3,0.305,129.01,4.867611370574077,23.3,367,Low
Cubbon Park_12.975_77.607,139,166.5,12.974444283453238,77.60716976115107,Cubbon Park,No Junction,46,33.1,2,0.386,128.54,4.863989713754771,23.2,368,Low
Kodigehalli_13.065_77.586,125,184.0,13.0637029144,77.5869272776,Kodigehalli,No Junction,4,3.2,2,0.347,127.7,4.857484114602081,23.2,369,Low
Hebbala_13.05_77.592,145,158.5,13.049456604827586,77.59327587034483,Hebbala,No Junction,55,37.9,2,0.402,127.43,4.855384008824965,23.2,370,Low
Mahadevapura_12.999_77.688,113,202.0,12.998931815431437,77.68812677785725,Mahadevapura,No Junction,49,43.4,2,0.314,126.86,4.850935915338581,23.1,371,Low
Kodigehalli_13.029_77.574,123,181.5,13.028145925203253,77.57359875853658,Kodigehalli,No Junction,53,43.1,2,0.341,123.78,4.82655218668264,23.0,372,Low
"BTP127 - Sagar Hospital, Jayanagar",83,177.0,12.927947021686748,77.59825148915664,Jayanagara,"BTP127 - Sagar Hospital, Jayanagar",30,36.1,3,0.23,122.13,4.81324070780478,22.9,373,Low
HAL Old Airport_12.933_77.685,122,181.0,12.931709375409836,77.68532886311476,HAL Old Airport,No Junction,72,59.0,2,0.339,122.72,4.818020947816869,22.9,374,Low
High ground_12.993_77.595,121,182.5,12.992507090909092,77.59478767438017,High ground,No Junction,70,57.9,2,0.336,122.64,4.817374117263916,22.9,375,Low
Bellandur_12.924_77.673,110,200.0,12.924044937248848,77.67340405523858,Bellandur,No Junction,38,34.5,2,0.305,122.0,4.812184355372417,22.8,376,Low
Mico Layout_12.915000000000001_77.607,142,153.5,12.913661819014084,77.60611695070422,Mico Layout,No Junction,44,31.0,2,0.394,120.96,4.803693122120054,22.8,377,Low
BTP212 - Minto Junction,78,186.5,12.96031432051282,77.5714075602564,V.V.Puram (C.Pet),BTP212 - Minto Junction,44,56.4,3,0.216,120.85,4.8027907800712155,22.8,378,Low
Yeshwanthpura_13.023_77.532,69,312.0,13.022608307246376,77.53279048985506,Yeshwanthpura,No Junction,30,43.5,2,0.191,119.18,4.788990618905782,22.7,379,Low
Byatarayanapura_12.948_77.535,92,233.5,12.948066942391304,77.534686675,Byatarayanapura,No Junction,37,40.2,2,0.255,119.08,4.788158187325206,22.7,380,Low
Bellandur_12.924_77.676,90,241.0,12.924906747777777,77.67580838111111,Bellandur,No Junction,36,40.0,2,0.25,120.5,4.799914262780603,22.7,381,Low
Adugodi_12.936_77.616,118,183.5,12.936327452542374,77.61712618050846,Adugodi,No Junction,39,33.1,2,0.327,120.01,4.7958731868099616,22.7,382,Low
BTP222 - Delmia Circle,98,147.5,12.905932804081633,77.59263616836735,J.P. Nagar,BTP222 - Delmia Circle,34,34.7,3,0.272,120.36,4.798761335040277,22.7,383,Low
Cubbon Park_12.975_77.604,129,165.5,12.974973433333332,77.60389977906978,Cubbon Park,No Junction,68,52.7,2,0.358,118.5,4.783316371371566,22.6,384,Low
Hebbala_13.071_77.592,113,184.5,13.071638450442478,77.59319246106195,Hebbala,No Junction,51,45.1,2,0.314,115.87,4.761062205945065,22.5,385,Low
Yeshwanthpura_13.035_77.556,114,184.0,13.034528031101672,77.55708779896989,Yeshwanthpura,No Junction,27,23.7,2,0.316,116.29,4.764649500533414,22.5,386,Low
Pulikeshinagar(F.Town)_12.984_77.613,114,185.5,12.983447736842106,77.61334773157895,Pulikeshinagar(F.Town),No Junction,68,59.6,2,0.316,117.24,4.772716457199891,22.5,387,Low
Adugodi_12.93_77.634,115,182.5,12.930509861739129,77.63311315391304,Adugodi,No Junction,63,54.8,2,0.319,116.44,4.765927564866206,22.5,388,Low
Halasur_12.972_77.625,115,180.0,12.972360313913043,77.62596700260869,Halasur,No Junction,45,39.1,2,0.319,114.84,4.752209928637407,22.4,389,Low
BTP030 - Mekhri Circle,87,158.5,13.013624291954024,77.58397421839081,Sadashivanagar,BTP030 - Mekhri Circle,37,42.5,3,0.241,114.6,4.750135956238277,22.4,390,Low
HSR Layout_12.906_77.634,71,287.0,12.906973829577465,77.63382345352113,HSR Layout,No Junction,27,38.0,2,0.197,113.08,4.736899956665986,22.3,391,Low
Rajajinagar_13.023_77.532,70,291.0,13.021850155714285,77.53245423285713,Rajajinagar,No Junction,38,54.3,2,0.194,112.91,4.735408662911821,22.3,392,Low
Rajajinagar_13.011000000000001_77.553,115,174.5,13.012273281739132,77.55218743217391,Rajajinagar,No Junction,60,52.2,2,0.319,111.33,4.721440967653478,22.2,393,Low
Byatarayanapura_12.942_77.526,118,171.5,12.940732984745763,77.52473531440678,Byatarayanapura,No Junction,52,44.1,2,0.327,112.16,4.728802746433367,22.2,394,Low
Whitefield_12.942_77.748,100,198.5,12.942245746000001,77.74727013100001,Whitefield,No Junction,45,45.0,2,0.277,109.97,4.709259894512472,22.1,395,Low
K.S. Layout_12.906_77.547,111,180.5,12.90689372095026,77.5461539299221,K.S. Layout,No Junction,12,10.8,2,0.308,111.19,4.720193862556873,22.1,396,Low
Yeshwanthpura_13.02_77.556,122,164.0,13.019395340983607,77.55667346311475,Yeshwanthpura,No Junction,45,36.9,2,0.339,111.19,4.720193862556873,22.1,397,Low
Malleshwaram_13.008000000000001_77.568,116,169.5,13.007853912068965,77.56878661551724,Malleshwaram,No Junction,96,82.8,2,0.322,109.16,4.7019338544204,22.0,398,Low
Jeevanbheemanagar_12.978_77.643,110,176.0,12.978617884545455,77.6423264890909,Jeevanbheemanagar,No Junction,89,80.9,2,0.305,107.36,4.685459017216894,21.9,399,Low
Rajajinagar_13.017_77.55,73,263.5,13.016326752054795,77.54977743287671,Rajajinagar,No Junction,10,13.7,2,0.203,106.98,4.6819460247901405,21.8,400,Low
Chikkajala_13.185_77.688,110,172.5,13.184149216363636,77.68779629636364,Chikkajala,No Junction,16,14.5,2,0.305,105.22,4.665512414994253,21.7,401,Low
Whitefield_12.963000000000001_77.733,117,161.0,12.963376716499837,77.73303398327528,Whitefield,No Junction,74,63.2,2,0.325,104.65,4.660131744062066,21.7,402,Low
Kodigehalli_13.023_77.586,103,181.0,13.02360046099381,77.58483724928267,Kodigehalli,No Junction,81,78.6,2,0.286,103.53,4.649474111544616,21.6,403,Low
K.S. Layout_12.909_77.55,98,191.5,12.909646981961053,77.55011410773042,K.S. Layout,No Junction,32,32.7,2,0.272,104.18,4.655673168161198,21.6,404,Low
Bellandur_12.915000000000001_77.679,107,173.0,12.913764173909952,77.67813868865818,Bellandur,No Junction,62,57.9,2,0.297,102.76,4.642080540008188,21.5,405,Low
Halasur_12.978_77.628,113,162.0,12.978185908849557,77.62831965486725,Halasur,No Junction,96,85.0,2,0.314,101.74,4.632201525039122,21.5,406,Low
Kodigehalli_13.059000000000001_77.577,88,206.5,13.059889755142107,77.576642894371,Kodigehalli,No Junction,38,43.2,2,0.244,100.77,4.62271536520384,21.4,407,Low
Magadi Road_12.963000000000001_77.55,110,165.0,12.964160814545455,77.55038061636364,Magadi Road,No Junction,55,50.0,2,0.305,100.65,4.621535540074356,21.4,408,Low
Adugodi_12.936_77.628,118,155.0,12.936894043898306,77.62733814457627,Adugodi,No Junction,37,31.4,2,0.327,101.37,4.628593700931679,21.4,409,Low
Jeevanbheemanagar_12.978_77.628,113,159.0,12.978305931858406,77.62876941592921,Jeevanbheemanagar,No Junction,106,93.8,2,0.314,99.85,4.613634264400221,21.3,410,Low
Whitefield_12.963000000000001_77.718,78,231.5,12.963714237179486,77.71788092948718,Whitefield,No Junction,43,55.1,2,0.216,100.01,4.615219521841093,21.3,411,Low
Mahadevapura_12.978_77.697,99,179.5,12.978549229729186,77.6960457389626,Mahadevapura,No Junction,39,39.4,2,0.275,98.72,4.6023662586553575,21.2,412,Low
R.T. Nagar_13.002_77.595,101,174.5,13.001561014851486,77.59541645643564,R.T. Nagar,No Junction,51,50.5,2,0.28,97.72,4.592287560157078,21.2,413,Low
Banashankari_12.936_77.535,129,134.0,12.935005815503876,77.53638837054262,Banashankari,No Junction,17,13.2,2,0.358,95.94,4.57409223041723,21.0,414,Low
HAL Old Airport_12.969_77.712,88,196.0,12.970088916439671,77.71257565357028,HAL Old Airport,No Junction,24,27.3,2,0.244,95.65,4.57109620565434,21.0,415,Low
Byatarayanapura_12.96_77.526,129,133.5,12.960895860465117,77.52714241007752,Byatarayanapura,No Junction,47,36.4,2,0.358,95.59,4.570475216191205,21.0,416,Low
K.G. Halli_13.038_77.625,66,257.5,13.037324148484847,77.62515483484847,K.G. Halli,No Junction,0,0.0,2,0.183,94.24,4.556400021618662,20.9,417,Low
Adugodi_12.942_77.622,103,161.5,12.942233416504854,77.62224934854369,Adugodi,No Junction,46,44.7,2,0.286,92.38,4.536677189542791,20.7,418,Low
Yeshwanthpura_13.032_77.559,120,138.5,13.032780074166668,77.55861802999999,Yeshwanthpura,No Junction,73,60.8,2,0.333,92.24,4.535176814167556,20.7,419,Low
Jeevanbheemanagar_12.96_77.655,90,184.0,12.959384252430318,77.65536750927707,Jeevanbheemanagar,No Junction,48,53.3,2,0.25,92.0,4.532599493153256,20.7,420,Low
Hulimavu_12.876_77.646,79,206.0,12.876748506329115,77.64706715316456,Hulimavu,No Junction,15,19.0,2,0.219,90.23,4.513383790357383,20.6,421,Low
BTP036 - Police Thimmaiah Circle (GPO),83,132.0,12.981054290361447,77.59432185301205,Cubbon Park,BTP036 - Police Thimmaiah Circle (GPO),48,57.8,3,0.23,91.08,4.522657764413627,20.6,422,Low
Madiwala_12.912_77.625,103,157.0,12.91169655631068,77.62570305436894,Madiwala,No Junction,59,57.3,2,0.286,89.8,4.508659285607248,20.5,423,Low
Upparpet_12.978_77.583,89,181.0,12.979021339325842,77.58210229213483,Upparpet,No Junction,46,51.7,2,0.247,89.41,4.504354880749275,20.5,424,Low
Chikkabanavara_13.056000000000001_77.508,105,153.5,13.055258731428571,77.50755856857143,Chikkabanavara,No Junction,34,32.4,2,0.291,89.34,4.503580330226458,20.5,425,Low
HSR Layout_12.903_77.643,57,280.0,12.903519245614035,77.64209047017543,HSR Layout,No Junction,57,100.0,2,0.158,88.48,4.494015136621929,20.4,426,Low
BTP217 - Baleyele Junction,85,124.5,12.957381283693532,77.56944775460542,V.V.Puram (C.Pet),BTP217 - Baleyele Junction,64,75.3,3,0.236,88.15,4.49032034430915,20.4,427,Low
Ashok Nagar_12.972_77.61,96,165.5,12.973100902083333,77.610093215625,Ashok Nagar,No Junction,55,57.3,2,0.266,88.05,4.489198009735671,20.4,428,Low
Malleshwaram_13.011000000000001_77.55,94,166.5,13.011543578723405,77.55139119042553,Malleshwaram,No Junction,54,57.4,2,0.261,86.91,4.476313563863087,20.3,429,Low
BTP133 - Adugodi Junction,73,143.0,12.941853575342465,77.6086067250685,Adugodi,BTP133 - Adugodi Junction,34,46.6,3,0.203,87.09,4.478359019121704,20.3,430,Low
HAL Old Airport_12.969_77.7,100,155.5,12.969158686999998,77.700763757,HAL Old Airport,No Junction,78,78.0,2,0.277,86.15,4.46763077196603,20.2,431,Low
K.R. Pura_13.008000000000001_77.688,105,147.0,13.006884845714286,77.68790273714285,K.R. Pura,No Junction,25,23.8,2,0.291,85.55,4.4607222816222185,20.2,432,Low
Vijayanagara_12.969_77.547,120,129.5,12.969291738333334,77.5457072975,Vijayanagara,No Junction,72,60.0,2,0.333,86.25,4.468777561082536,20.2,433,Low
HAL Old Airport_12.93_77.694,81,192.0,12.93065207777778,77.69417436049382,HAL Old Airport,No Junction,62,76.5,2,0.225,86.4,4.470495282661489,20.2,434,Low
R.T. Nagar_13.005_77.595,88,174.0,13.004471296590909,77.59443312272727,R.T. Nagar,No Junction,38,43.2,2,0.244,84.91,4.453300236649965,20.1,435,Low
Yeshwanthpura_13.017_77.559,83,184.0,13.018226491118664,77.55859339807473,Yeshwanthpura,No Junction,30,36.1,2,0.23,84.64,4.450152463721482,20.1,436,Low
Chikkajala_13.143_77.619,100,150.5,13.143958769000001,77.61785841300001,Chikkajala,No Junction,21,21.0,2,0.277,83.38,4.435330406696193,20.0,437,Low
Yelahanka_13.098_77.577,95,158.0,13.098955921052632,77.57712939368422,Yelahanka,No Junction,49,51.6,2,0.264,83.42,4.435804340354353,20.0,438,Low
Hennuru_13.071_77.634,97,153.0,13.071729621649485,77.63373242680412,Hennuru,No Junction,50,51.5,2,0.269,82.31,4.422568589986818,19.9,439,Low
Jeevanbheemanagar_12.978_77.637,106,141.0,12.978305052830189,77.63776882452831,Jeevanbheemanagar,No Junction,64,60.4,2,0.294,82.91,4.4297447958819784,19.9,440,Low
Kamakshipalya_12.99_77.508,96,155.5,12.989174215624999,77.50781959479167,Kamakshipalya,No Junction,33,34.4,2,0.266,82.73,4.4275973362163406,19.9,441,Low
Whitefield_12.966000000000001_77.718,73,199.5,12.964874726027398,77.718522,Whitefield,No Junction,42,57.5,2,0.203,81.0,4.406719247264253,19.8,442,Low
HAL Old Airport_12.957_77.667,110,134.5,12.958246796363635,77.66830652454546,HAL Old Airport,No Junction,12,10.9,2,0.305,82.04,4.419322419417578,19.8,443,Low
Jeevanbheemanagar_12.966000000000001_77.658,86,171.0,12.966819173255814,77.65826091627908,Jeevanbheemanagar,No Junction,71,82.6,2,0.239,81.74,4.4157031610332655,19.8,444,Low
HSR Layout_12.918000000000001_77.652,115,125.5,12.91785417652174,77.65172353826087,HSR Layout,No Junction,73,63.5,2,0.319,80.07,4.395312978999615,19.7,445,Low
Jeevanbheemanagar_12.963000000000001_77.649,101,144.0,12.962201820049504,77.64912857236735,Jeevanbheemanagar,No Junction,54,53.5,2,0.28,80.64,4.402319337941644,19.7,446,Low
Wilson Garden_12.939_77.586,109,133.5,12.938223672477065,77.58509396880734,Wilson Garden,No Junction,48,44.0,2,0.302,80.63,4.402196841463264,19.7,447,Low
Upparpet_12.978_77.58,95,149.5,12.978617403157894,77.58116938421053,Upparpet,No Junction,72,75.8,2,0.264,78.94,4.3812763532831775,19.6,448,Low
BTP138 - Sarjapur Road Check Post,75,127.0,12.927103010322917,77.61688994134308,Madiwala,BTP138 - Sarjapur Road Check Post,28,37.3,3,0.208,79.25,4.385146762010125,19.6,449,Low
Ashok Nagar_12.969_77.61,91,156.5,12.970161064361811,77.61020199720366,Ashok Nagar,No Junction,36,39.6,2,0.252,78.88,4.380525508547614,19.6,450,Low
Banashankari_12.936_77.538,112,123.0,12.934960207142856,77.53663044642857,Banashankari,No Junction,5,4.5,2,0.311,76.51,4.35040696029342,19.3,451,Low
Electronic City_12.882_77.646,74,185.0,12.880956607803078,77.64537244592361,Electronic City,No Junction,14,18.9,2,0.205,75.85,4.341855469984605,19.3,452,Low
Peenya_13.041_77.514,85,157.5,13.041761799215687,77.51447484235294,Peenya,No Junction,33,38.8,2,0.236,74.34,4.322011202263895,19.1,453,Low
Sadashivanagar_13.026_77.577,92,146.0,13.027285317391305,77.57687987826087,Sadashivanagar,No Junction,27,29.3,2,0.255,74.46,4.323602714536165,19.1,454,Low
Electronic City_12.855_77.664,83,159.5,12.855404485014985,77.66449255929402,Electronic City,No Junction,33,39.8,2,0.23,73.37,4.309052634715209,19.0,455,Low
Peenya_13.044_77.508,80,162.5,13.045192539999999,77.50711750875,Peenya,No Junction,45,56.2,2,0.222,72.15,4.292512127466133,18.9,456,Low
R.T. Nagar_13.017_77.592,86,152.0,13.017052443023257,77.59144166046511,R.T. Nagar,No Junction,40,46.5,2,0.239,72.66,4.299459911016919,18.9,457,Low
Bellandur_12.912_77.679,90,143.0,12.91303005946949,77.67973579255157,Bellandur,No Junction,64,71.1,2,0.25,71.5,4.283586561860629,18.8,458,Low
